ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
ID132,2,2,2,2,2,2,2,2,2,2
ID133,1,1,1,1,3,2,2,4,2,1
ID134,1,2,2,2,3,2,2,4,3,2
ID135,1,2,2,1,3,2,2,3,2,2
ID136,1,3,3,1,4,1,3,4,4,1
ID137,2,2,2,2,3,1,2,3,2,2
ID138,2,1,1,2,1,1,1,4,2,1
ID139,1,1,1,1,1,1,1,1,1,1
ID140,1,2,3,1,1,1,2,2,3,1
ID141,1,2,2,1,3,2,2,3,2,2
ID142,1,1,1,1,3,1,2,3,1,1
ID143,1,2,2,2,3,1,3,4,2,2
ID144,1,2,2,2,2,2,2,4,2,2
ID145,2,2,2,1,3,2,1,2,2,2
ID146,2,2,3,2,1,2,2,4,2,1
ID147,2,2,2,2,2,2,2,4,3,1
ID148,1,1,1,1,3,2,2,3,3,1
ID149,2,2,2,3,2,2,2,3,2,2
ID150,1,2,2,2,2,2,2,4,1,2
ID151,1,1,2,2,3,1,2,3,2,1
ID152,1,3,3,1,1,3,3,3,3,1
ID153,1,2,2,1,2,2,1,3,3,1
ID154,1,2,2,1,3,3,3,4,3,1
ID155,1,2,2,1,1,2,2,3,2,1
ID156,1,2,2,1,3,2,3,4,3,1
ID157,1,2,2,2,2,1,2,3,2,1
ID158,1,2,2,1,3,2,2,3,1,2
ID159,1,1,1,1,1,1,1,4,1,1
ID160,1,3,2,1,4,2,2,4,3,1
ID161,1,1,2,1,2,1,1,4,2,2
ID162,1,2,2,2,3,2,2,3,2,1
ID163,1,2,2,1,2,3,4,3,2,2
ID164,2,2,2,2,3,2,3,4,4,2
ID165,2,3,3,2,2,3,3,3,3,2
ID166,1,1,2,1,3,2,1,3,2,1
ID167,2,2,2,2,2,2,2,2,2,2
ID168,2,3,2,3,2,2,2,3,2,2
ID169,2,3,2,3,3,2,2,4,2,1
ID170,1,3,3,2,3,2,2,2,2,3
ID171,1,2,1,2,1,2,1,2,2,2
ID172,2,2,3,2,3,2,2,2,2,2
ID173,1,2,2,1,1,1,1,3,2,1
ID174,2,3,2,3,2,1,2,3,2,1
ID175,1,3,2,1,1,2,3,3,2,2
ID176,1,3,2,2,2,2,3,4,3,2
ID177,1,2,2,2,3,2,2,3,2,2
ID178,1,3,2,1,1,1,2,2,2,1
ID179,1,3,3,1,3,3,3,2,3,2
ID180,2,2,3,2,3,2,2,2,2,2
ID181,1,3,3,2,3,3,3,3,3,1
ID182,1,2,2,2,1,1,2,2,1,1
ID183,1,2,2,2,4,1,3,4,3,2
ID184,1,2,4,1,4,1,2,4,2,1
ID185,2,3,3,3,2,2,2,3,3,2
ID186,2,4,3,2,3,3,3,4,3,2
ID187,1,2,2,1,1,2,2,3,3,1
ID188,3,3,3,1,2,2,2,4,2,1
ID189,2,2,2,1,2,2,2,4,2,1
ID190,1,2,2,1,3,2,2,3,3,2
ID191,1,3,1,1,3,2,2,4,1,2
ID192,2,3,4,2,4,4,4,4,4,1
ID193,1,2,1,1,4,1,1,4,4,1
ID194,1,3,3,1,3,3,3,3,3,1
ID195,2,2,3,1,3,3,4,4,2,2
ID196,2,2,2,1,2,1,1,4,1,1
ID197,1,2,2,2,2,2,3,3,2,1
ID198,1,4,3,2,3,4,2,2,3,1
ID199,1,2,2,1,4,2,4,3,2,1
ID200,2,3,3,2,2,3,3,3,2,2
ID201,1,3,2,2,3,2,3,3,3,2
ID202,1,3,3,1,2,3,2,4,2,2
ID203,2,2,3,3,3,2,1,3,3,1
ID204,1,3,3,1,3,2,3,3,3,1
ID205,1,3,3,2,2,2,3,3,2,2
ID206,1,3,2,2,3,2,2,2,2,2
ID207,1,2,1,1,3,1,2,3,2,1
ID208,1,2,2,2,3,2,2,3,2,2
ID209,2,2,2,2,2,2,2,2,2,2
ID210,1,3,3,2,1,2,3,3,4,1
ID211,1,4,2,1,2,2,3,1,4,1
ID212,2,2,2,2,3,2,3,4,3,2
ID213,1,2,2,1,3,1,3,4,3,1
ID214,1,3,3,1,1,1,1,4,3,1
ID215,1,2,2,1,2,2,2,3,3,1
ID216,1,2,3,2,2,2,2,4,2,2
ID217,1,3,2,2,3,2,1,3,2,2
ID218,1,2,3,3,2,2,2,4,2,1
ID219,1,2,2,3,1,2,2,3,2,1
ID220,1,1,4,1,3,1,2,1,3,1
ID221,1,3,3,1,4,3,4,4,3,1
ID222,2,2,2,3,2,1,2,3,2,1
ID223,2,4,3,3,2,3,2,4,2,2
ID224,1,2,3,4,1,2,1,1,3,2
ID225,1,2,2,1,1,2,2,4,3,1
ID226,2,3,2,2,3,3,3,4,3,2
ID227,2,4,4,2,2,4,3,2,4,1
ID228,2,3,3,3,2,2,2,4,2,2
ID229,1,3,1,1,3,2,1,3,2,1
ID230,2,4,3,2,3,4,4,4,4,2
ID231,2,4,4,3,1,2,2,2,3,2
ID232,1,3,3,2,2,3,2,3,2,2
ID233,1,2,3,2,1,3,3,3,2,1
ID234,2,2,2,2,3,3,2,4,2,1
ID235,2,3,4,3,1,2,1,3,3,1
ID236,1,4,4,4,1,3,4,4,2,1
ID237,1,4,4,3,3,4,2,3,2,1
ID238,2,4,4,4,3,2,1,4,2,1
ID239,1,1,2,2,2,1,1,2,1,1
ID240,2,3,2,2,2,2,2,4,2,2
ID241,1,2,3,2,4,2,2,2,2,1
ID242,2,2,2,1,2,2,2,2,3,2
ID243,1,3,4,2,3,3,2,4,4,1
ID244,2,3,2,4,3,2,3,2,3,1
ID245,1,2,2,1,3,2,3,4,4,1
ID246,1,2,2,2,2,1,2,3,2,2
ID247,2,2,2,2,2,2,2,2,2,2
ID248,1,1,1,1,3,1,3,4,1,1
ID249,2,2,3,3,3,3,2,4,2,1
